Time(ms)	Big Toe D	Meta 1 D	Meta 5 D 	Heel D	GDX	GDY	GDZ	ADX	ADY	ADZ	HDX	HDY	HDZ
0	10,4932	0,0000	0,0000	188,8772	-29	66	-93	-73	32	218	25	-17	-154
10	0,0000	10,4932	0,0000	83,9454	-22	54	-82	-75	31	223	26	-18	-154
20	10,4932	0,0000	10,4932	356,7681	-37	47	-69	-76	32	219	26	-17	-154
30	0,0000	10,4932	0,0000	293,8090	-35	18	-75	-79	28	218	26	-18	-154
40	0,0000	0,0000	10,4932	52,4659	-53	-12	-66	-75	33	222	25	-17	-155
50	0,0000	0,0000	0,0000	52,4659	-56	-47	-58	-77	31	216	26	-17	-153
60	0,0000	0,0000	10,4932	230,8499	-37	-41	-49	-79	27	217	26	-18	-153
70	0,0000	0,0000	10,4932	62,9591	-52	-51	-73	-72	32	223	25	-17	-154
80	0,0000	0,0000	10,4932	83,9454	-43	-59	-69	-77	29	220	26	-17	-154
90	0,0000	0,0000	10,4932	157,3977	-46	-63	-56	-77	32	220	26	-18	-154
120	0,0000	0,0000	10,4932	230,8499	-49	-70	-82	-79	31	222	26	-17	-154
130	0,0000	0,0000	0,0000	220,3568	-49	-70	-82	-73	29	219	26	-17	-154
140	0,0000	0,0000	10,4932	167,8909	-48	-64	-61	-75	32	219	26	-17	-154
150	0,0000	0,0000	10,4932	209,8636	-34	-48	-42	-76	34	223	26	-17	-154
160	0,0000	0,0000	10,4932	262,3295	-31	-26	-53	-76	34	223	25	-17	-154
170	10,4932	0,0000	10,4932	304,3022	-35	-25	-56	-75	27	219	26	-17	-154
180	10,4932	0,0000	10,4932	272,8227	-62	-34	-62	-74	34	220	26	-17	-154
190	0,0000	0,0000	10,4932	167,8909	-42	-12	-69	-76	34	222	26	-18	-154
200	0,0000	0,0000	10,4932	188,8772	-43	-9	-72	-76	28	221	25	-18	-154
210	0,0000	0,0000	0,0000	167,8909	-40	-10	-62	-77	30	223	26	-17	-154
